,events,woba_value,launch_speed,launch_angle
8538,field_out,0.0,70.9,-36.0
8548,field_out,0.0,76.6,57.0
8553,home_run,2.0,113.3,24.0
8554,field_out,0.0,99.5,27.0
8570,field_out,0.0,79.4,67.0
8573,single,0.9,113.7,1.0
8576,field_out,0.0,86.5,39.0
8583,double,1.25,94.4,11.0
8585,field_out,0.0,104.0,-6.0
8593,field_out,0.0,111.3,6.0
8595,field_out,0.0,63.7,54.0
8603,single,0.9,103.8,14.0
8613,home_run,2.0,104.1,35.0
8617,double,1.25,105.5,14.0
8632,field_out,0.0,90.5,10.0
8636,field_out,0.0,102.6,-12.0
8667,field_out,0.0,102.7,45.0
8669,field_out,0.0,70.3,73.0
8674,single,0.9,92.5,17.0
8678,single,0.9,71.9,15.0
8683,field_out,0.0,85.1,41.0
8688,field_out,0.0,102.6,10.0
8716,single,0.9,99.3,6.0
8727,field_out,0.0,69.2,10.0
8732,field_out,0.0,66.2,-28.0
8734,field_out,0.0,95.1,72.0
8735,field_out,0.0,93.7,-20.0
8741,field_out,0.0,80.6,72.0
8746,single,0.9,85.9,17.0
8749,field_out,0.0,98.0,0.0
8756,field_out,0.0,98.5,38.0
8768,double,1.25,98.1,31.0
8781,single,0.9,85.5,3.0
8785,field_out,0.0,86.2,-16.0
8791,field_out,0.0,85.5,-9.0
8792,single,0.9,103.3,-9.0
8800,field_out,0.0,95.7,2.0
8806,field_out,0.0,45.1,17.0
8814,single,0.9,94.9,13.0
8837,double,1.25,108.8,16.0
8847,field_out,0.0,96.7,9.0
8849,field_out,0.0,98.3,47.0
8853,field_out,0.0,98.6,5.0
8872,field_out,0.0,98.3,55.0
8874,field_out,0.0,80.4,1.0
8886,field_out,0.0,91.5,10.0
8889,field_out,0.0,72.3,12.0
8891,field_out,0.0,104.7,12.0
8900,field_out,0.0,78.2,64.0
8904,field_out,0.0,74.3,-1.0
8906,field_out,0.0,79.6,-17.0
8912,field_out,0.0,98.6,-12.0
8921,field_out,0.0,97.3,5.0
8927,field_out,0.0,90.5,-16.0
8930,home_run,2.0,111.6,29.0
